feature,precision,recall,f1,category
workclass,0.6869806094182825,0.25228891149542215,0.369047619047619,Private
workclass,0.631578947368421,0.2727272727272727,0.38095238095238093,?
workclass,0.7017543859649122,0.25477707006369427,0.37383177570093457,Self-emp-not-inc
workclass,0.8837209302325582,0.3114754098360656,0.4606060606060607,Self-emp-inc
workclass,0.8333333333333334,0.20270270270270271,0.32608695652173914,Federal-gov
workclass,0.7111111111111111,0.2302158273381295,0.34782608695652173,Local-gov
workclass,0.75,0.28378378378378377,0.4117647058823529,State-gov
workclass,1.0,1.0,1.0,Never-worked
workclass,1.0,1.0,1.0,Without-pay
education,0.6666666666666666,0.25,0.36363636363636365,12th
education,0.8455882352941176,0.25386313465783666,0.3904923599320883,Bachelors
education,0.49645390070921985,0.1977401129943503,0.2828282828282828,HS-grad
education,0.375,0.25,0.3,11th
education,0.9264705882352942,0.32642487046632124,0.48275862068965514,Masters
education,0.6,0.1992619926199262,0.29916897506925205,Some-college
education,0.2857142857142857,0.2,0.23529411764705882,10th
education,1.0,0.4431818181818182,0.6141732283464567,Prof-school
education,0.6785714285714286,0.25675675675675674,0.37254901960784315,Assoc-voc
education,0.0,0.0,1.0,9th
education,1.0,0.0,0.0,1st-4th
education,0.8333333333333334,0.29411764705882354,0.4347826086956522,Assoc-acdm
education,1.0,0.3181818181818182,0.4827586206896552,Doctorate
education,0.2,0.2,0.20000000000000004,7th-8th
education,1.0,1.0,1.0,Preschool
education,0.5,0.6666666666666666,0.5714285714285715,5th-6th
marital-status,0.32432432432432434,0.3076923076923077,0.3157894736842105,Never-married
marital-status,0.5660377358490566,0.33707865168539325,0.42253521126760557,Divorced
marital-status,0.821256038647343,0.24478041756659466,0.37714919578480305,Married-civ-spouse
marital-status,0.4,0.4444444444444444,0.4210526315789474,Widowed
marital-status,0.3333333333333333,0.2,0.25,Separated
marital-status,0.5,0.25,0.3333333333333333,Married-spouse-absent
marital-status,1.0,0.0,0.0,Married-AF-spouse
occupation,0.3333333333333333,0.16666666666666666,0.2222222222222222,Handlers-cleaners
occupation,0.47368421052631576,0.18,0.2608695652173913,Machine-op-inspct
occupation,0.5384615384615384,0.17587939698492464,0.2651515151515152,Craft-repair
occupation,0.875,0.2986666666666667,0.4453280318091452,Exec-managerial
occupation,0.5384615384615384,0.1590909090909091,0.2456140350877193,Protective-serv
occupation,0.631578947368421,0.2727272727272727,0.38095238095238093,?
occupation,0.6923076923076923,0.27692307692307694,0.3956043956043956,Transport-moving
occupation,0.8695652173913043,0.2926829268292683,0.437956204379562,Sales
occupation,0.8617886178861789,0.28418230563002683,0.42741935483870974,Prof-specialty
occupation,0.15789473684210525,0.12,0.13636363636363635,Other-service
occupation,0.46296296296296297,0.23809523809523808,0.31446540880503143,Adm-clerical
occupation,0.42857142857142855,0.21428571428571427,0.2857142857142857,Farming-fishing
occupation,0.7692307692307693,0.16129032258064516,0.26666666666666666,Tech-support
occupation,1.0,1.0,1.0,Priv-house-serv
occupation,1.0,1.0,1.0,Armed-Forces
relationship,0.13636363636363635,0.23076923076923078,0.1714285714285714,Own-child
relationship,0.47,0.31333333333333335,0.376,Not-in-family
relationship,0.8305084745762712,0.24098360655737705,0.37357052096569243,Husband
relationship,0.47058823529411764,0.34782608695652173,0.39999999999999997,Unmarried
relationship,0.7818181818181819,0.27388535031847133,0.40566037735849053,Wife
relationship,0.5,0.42857142857142855,0.4615384615384615,Other-relative
race,0.7217898832684825,0.2569252077562327,0.37895812053115424,White
race,0.5384615384615384,0.12962962962962962,0.208955223880597,Asian-Pac-Islander
race,0.6857142857142857,0.2926829268292683,0.41025641025641024,Black
race,0.6666666666666666,0.2857142857142857,0.4,Other
race,0.3333333333333333,0.3333333333333333,0.3333333333333333,Amer-Indian-Eskimo
sex,0.7586206896551724,0.24372230428360414,0.368921185019564,Male
sex,0.5588235294117647,0.3179916317991632,0.4053333333333334,Female
native-country,1.0,1.0,1.0,Columbia
native-country,0.7113207547169811,0.25857338820301784,0.37927565392354123,United-States
native-country,1.0,1.0,1.0,Dominican-Republic
native-country,1.0,0.1111111111111111,0.19999999999999998,Mexico
native-country,1.0,1.0,1.0,Outlying-US(Guam-USVI-etc)
native-country,0.7,0.20588235294117646,0.3181818181818182,?
native-country,0.0,1.0,0.0,Vietnam
native-country,1.0,0.5,0.6666666666666666,China
native-country,1.0,0.0,0.0,Philippines
native-country,1.0,0.0,0.0,Jamaica
native-country,1.0,0.0,0.0,Italy
native-country,1.0,0.2,0.33333333333333337,England
native-country,1.0,0.2,0.33333333333333337,Taiwan
native-country,1.0,0.1111111111111111,0.19999999999999998,Canada
native-country,1.0,1.0,1.0,Honduras
native-country,1.0,1.0,1.0,Scotland
native-country,1.0,0.0,0.0,Hong
native-country,1.0,0.0,0.0,Haiti
native-country,1.0,0.5,0.6666666666666666,Iran
native-country,0.75,0.6,0.6666666666666665,South
native-country,1.0,0.5,0.6666666666666666,El-Salvador
native-country,1.0,0.4,0.5714285714285715,Germany
native-country,1.0,0.3333333333333333,0.5,Cuba
native-country,0.0,0.0,1.0,Ireland
native-country,0.0,0.0,1.0,Hungary
native-country,1.0,1.0,1.0,Trinadad&Tobago
native-country,0.5,0.25,0.3333333333333333,Poland
native-country,1.0,0.0,0.0,India
native-country,1.0,0.0,0.0,Japan
native-country,1.0,1.0,1.0,Nicaragua
native-country,0.0,0.0,1.0,Portugal
native-country,1.0,1.0,1.0,Thailand
native-country,0.5,1.0,0.6666666666666666,Puerto-Rico
native-country,1.0,0.5,0.6666666666666666,Yugoslavia
native-country,1.0,0.0,0.0,Cambodia
native-country,1.0,0.0,0.0,Guatemala
native-country,1.0,0.0,0.0,Ecuador
native-country,1.0,1.0,1.0,Laos
native-country,1.0,1.0,1.0,Peru
native-country,0.0,1.0,0.0,Greece
native-country,0.0,1.0,0.0,Holand-Netherlands
native-country,1.0,1.0,1.0,France
